"function_signature","dependency_type","dependent_schema","dependent_object","detail"
"app_private.assert_manager_clinic_assignment_valid()","TRIGGER","public","manager_clinic_assignments","assert_manager_clinic_assignment_valid_insert"
"app_private.assert_manager_clinic_assignment_valid()","TRIGGER","public","manager_clinic_assignments","assert_manager_clinic_assignment_valid_update"
"app_private.assert_subscription_org_root_clinic()","TRIGGER","public","subscriptions","subscriptions_org_root_clinic_guard"
"app_private.can_access_clinic(uuid)","POLICY","public","ai_comments","ai_comments_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","ai_comments","ai_comments_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","ai_comments","ai_comments_select"
"app_private.can_access_clinic(uuid)","POLICY","public","ai_comments","ai_comments_update"
"app_private.can_access_clinic(uuid)","POLICY","public","appointments","appointments_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","audit_logs","audit_logs_select_for_admins"
"app_private.can_access_clinic(uuid)","POLICY","public","blocks","blocks_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","blocks","blocks_insert_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","blocks","blocks_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","blocks","blocks_update_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","calendar_feed_tokens","calendar_feed_tokens_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","care_episodes","care_episodes_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","care_episodes","care_episodes_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","care_episodes","care_episodes_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_messages","chat_messages_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_messages","chat_messages_select"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_sessions","chat_sessions_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_sessions","chat_sessions_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_sessions","chat_sessions_select"
"app_private.can_access_clinic(uuid)","POLICY","public","chat_sessions","chat_sessions_update"
"app_private.can_access_clinic(uuid)","POLICY","public","clinic_feature_flags","clinic_feature_flags_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","clinic_settings","clinic_settings_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","clinic_settings","clinic_settings_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","clinic_settings","clinic_settings_select"
"app_private.can_access_clinic(uuid)","POLICY","public","clinic_settings","clinic_settings_update"
"app_private.can_access_clinic(uuid)","POLICY","public","clinics","clinics_admin_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","clinics","clinics_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","clinics","clinics_admin_update"
"app_private.can_access_clinic(uuid)","POLICY","public","clinics","clinics_own_select"
"app_private.can_access_clinic(uuid)","POLICY","public","csp_violations","csp_violations_select_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","csp_violations","csp_violations_update_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","customer_insurance_coverages","customer_insurance_coverages_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","customer_insurance_coverages","customer_insurance_coverages_write_for_clinic_pricing_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","customers","customers_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","customers","customers_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","customers","customers_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","customers","customers_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_item_tags","daily_report_item_tags_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_item_tags","daily_report_item_tags_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_item_tags","daily_report_item_tags_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_item_tags","daily_report_item_tags_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_items","daily_report_items_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_items","daily_report_items_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_items","daily_report_items_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_report_items","daily_report_items_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_reports","daily_reports_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_reports","daily_reports_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_reports","daily_reports_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","daily_reports","daily_reports_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_billing_profiles","menu_billing_profiles_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_billing_profiles","menu_billing_profiles_write_for_clinic_pricing_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_template_billing_profiles","menu_template_billing_profiles_select_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_template_billing_profiles","menu_template_billing_profiles_write_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_templates","menu_templates_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_templates","menu_templates_insert_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_templates","menu_templates_select_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menu_templates","menu_templates_update_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menus","menus_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","menus","menus_insert_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menus","menus_select_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","menus","menus_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","menus","menus_update_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_campaigns","patient_outreach_campaigns_insert_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_campaigns","patient_outreach_campaigns_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_campaigns","patient_outreach_campaigns_update_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_recipients","patient_outreach_recipients_insert_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_recipients","patient_outreach_recipients_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patient_outreach_recipients","patient_outreach_recipients_update_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","patients","patients_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","patients","patients_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","patients","patients_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","profiles","profiles_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","registered_devices","registered_devices_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","registered_devices","registered_devices_self_all"
"app_private.can_access_clinic(uuid)","POLICY","public","reservation_history","reservation_history_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","reservation_history","reservation_history_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","reservation_history","reservation_history_update_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","reservations","reservations_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","reservations","reservations_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","reservations","reservations_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","reservations","reservations_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","resources","resources_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","resources","resources_insert_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","resources","resources_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","resources","resources_update_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_lines","revenue_estimate_lines_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_lines","revenue_estimate_lines_write_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_overrides","revenue_estimate_overrides_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_overrides","revenue_estimate_overrides_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_warnings","revenue_estimate_warnings_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimate_warnings","revenue_estimate_warnings_write_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimates","revenue_estimates_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenue_estimates","revenue_estimates_write_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","revenues","revenues_delete_for_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","revenues","revenues_insert_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","revenues","revenues_select_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","revenues","revenues_update_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","security_alerts","security_alerts_select_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","security_alerts","security_alerts_update_admin"
"app_private.can_access_clinic(uuid)","POLICY","public","security_events","security_events_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","security_events","security_events_admin_update"
"app_private.can_access_clinic(uuid)","POLICY","public","security_events","security_events_self_select"
"app_private.can_access_clinic(uuid)","POLICY","public","session_policies","session_policies_admin_all"
"app_private.can_access_clinic(uuid)","POLICY","public","session_policies","session_policies_staff_select"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_request_audit_logs","shift_request_audit_logs_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_request_periods","shift_request_periods_insert_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_request_periods","shift_request_periods_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_request_periods","shift_request_periods_update_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_requests","shift_requests_insert_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_requests","shift_requests_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","shift_requests","shift_requests_update_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","staff","staff_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","staff","staff_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","staff","staff_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_clinic_memberships","staff_clinic_memberships_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_invites","staff_invites_clinic_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_invites","staff_invites_creator_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_invites","staff_invites_creator_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_invites","staff_invites_creator_select"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_invites","staff_invites_creator_update"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_performance","staff_performance_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_performance","staff_performance_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_performance","staff_performance_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_performance","staff_performance_update_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_preferences","staff_preferences_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_preferences","staff_preferences_insert_policy"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_preferences","staff_preferences_select"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_preferences","staff_preferences_update"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_preferences","staff_preferences_update_policy"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_profiles","staff_profiles_select_scoped"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_shifts","staff_shifts_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_shifts","staff_shifts_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_shifts","staff_shifts_select"
"app_private.can_access_clinic(uuid)","POLICY","public","staff_shifts","staff_shifts_update"
"app_private.can_access_clinic(uuid)","POLICY","public","subscriptions","customer admin can read own subscription"
"app_private.can_access_clinic(uuid)","POLICY","public","user_permissions","user_permissions_admin_manage"
"app_private.can_access_clinic(uuid)","POLICY","public","user_sessions","user_sessions_admin_delete"
"app_private.can_access_clinic(uuid)","POLICY","public","user_sessions","user_sessions_admin_select"
"app_private.can_access_clinic(uuid)","POLICY","public","user_sessions","user_sessions_self_insert"
"app_private.can_access_clinic(uuid)","POLICY","public","user_sessions","user_sessions_self_select"
"app_private.can_access_clinic(uuid)","POLICY","public","user_sessions","user_sessions_self_update"
"app_private.can_access_clinic(uuid)","POLICY","public","visits","visits_delete_for_managers"
"app_private.can_access_clinic(uuid)","POLICY","public","visits","visits_insert_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","visits","visits_select_for_staff"
"app_private.can_access_clinic(uuid)","POLICY","public","visits","visits_update_for_staff"
"app_private.get_current_role()","FUNCTION","public","convert_shift_requests(uuid,uuid,uuid[],text,uuid,text)","n"
"app_private.get_current_role()","POLICY","public","ai_comments","ai_comments_insert"
"app_private.get_current_role()","POLICY","public","ai_comments","ai_comments_select"
"app_private.get_current_role()","POLICY","public","ai_comments","ai_comments_update"
"app_private.get_current_role()","POLICY","public","appointments","appointments_insert_service_role"
"app_private.get_current_role()","POLICY","public","appointments","appointments_select_for_staff"
"app_private.get_current_role()","POLICY","public","audit_logs","audit_logs_select_for_admins"
"app_private.get_current_role()","POLICY","public","blocks","blocks_delete_for_admin"
"app_private.get_current_role()","POLICY","public","blocks","blocks_insert_for_managers"
"app_private.get_current_role()","POLICY","public","blocks","blocks_select_for_staff"
"app_private.get_current_role()","POLICY","public","blocks","blocks_update_for_managers"
"app_private.get_current_role()","POLICY","public","calendar_feed_tokens","calendar_feed_tokens_select_scoped"
"app_private.get_current_role()","POLICY","public","calendar_feed_tokens","calendar_feed_tokens_write_admin_only"
"app_private.get_current_role()","POLICY","public","care_episodes","care_episodes_insert_for_staff"
"app_private.get_current_role()","POLICY","public","care_episodes","care_episodes_select_for_staff"
"app_private.get_current_role()","POLICY","public","care_episodes","care_episodes_update_for_staff"
"app_private.get_current_role()","POLICY","public","chat_messages","chat_messages_insert"
"app_private.get_current_role()","POLICY","public","chat_messages","chat_messages_select"
"app_private.get_current_role()","POLICY","public","chat_sessions","chat_sessions_delete"
"app_private.get_current_role()","POLICY","public","chat_sessions","chat_sessions_insert"
"app_private.get_current_role()","POLICY","public","chat_sessions","chat_sessions_select"
"app_private.get_current_role()","POLICY","public","chat_sessions","chat_sessions_update"
"app_private.get_current_role()","POLICY","public","clinic_feature_flags","clinic_feature_flags_select_scoped"
"app_private.get_current_role()","POLICY","public","clinic_feature_flags","clinic_feature_flags_write_admin_only"
"app_private.get_current_role()","POLICY","public","clinic_settings","clinic_settings_delete"
"app_private.get_current_role()","POLICY","public","clinic_settings","clinic_settings_insert"
"app_private.get_current_role()","POLICY","public","clinic_settings","clinic_settings_select"
"app_private.get_current_role()","POLICY","public","clinic_settings","clinic_settings_update"
"app_private.get_current_role()","POLICY","public","clinics","clinics_admin_insert"
"app_private.get_current_role()","POLICY","public","clinics","clinics_admin_select"
"app_private.get_current_role()","POLICY","public","clinics","clinics_admin_update"
"app_private.get_current_role()","POLICY","public","clinics","clinics_delete_for_admin"
"app_private.get_current_role()","POLICY","public","csp_violations","csp_violations_select_admin"
"app_private.get_current_role()","POLICY","public","csp_violations","csp_violations_update_admin"
"app_private.get_current_role()","POLICY","public","customer_insurance_coverages","customer_insurance_coverages_select_for_staff"
"app_private.get_current_role()","POLICY","public","customer_insurance_coverages","customer_insurance_coverages_write_for_clinic_pricing_admin"
"app_private.get_current_role()","POLICY","public","customers","customers_delete_for_admin"
"app_private.get_current_role()","POLICY","public","customers","customers_insert_for_staff"
"app_private.get_current_role()","POLICY","public","customers","customers_select_for_staff"
"app_private.get_current_role()","POLICY","public","customers","customers_update_for_staff"
"app_private.get_current_role()","POLICY","public","daily_report_item_tags","daily_report_item_tags_delete_for_managers"
"app_private.get_current_role()","POLICY","public","daily_report_item_tags","daily_report_item_tags_insert_for_staff"
"app_private.get_current_role()","POLICY","public","daily_report_item_tags","daily_report_item_tags_select_for_staff"
"app_private.get_current_role()","POLICY","public","daily_report_item_tags","daily_report_item_tags_update_for_staff"
