"schema","table_name","policy_name","permissive","roles","cmd","qual","with_check","classification","expected","difference"
"public","ai_comments","ai_comments_delete","PERMISSIVE","{public}","DELETE","(app_private.jwt_is_admin() AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","ai_comments","ai_comments_insert","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","ai_comments","ai_comments_select","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","ai_comments","ai_comments_update","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_insert_service_role","PERMISSIVE","{public}","INSERT",,"(app_private.get_current_role() = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","appointments","appointments_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","audit_logs_insert_service_role","PERMISSIVE","{public}","INSERT",,"(( SELECT auth.role() AS role) = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","audit_logs","audit_logs_select_for_admins","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin())))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","Admins can update feedback","PERMISSIVE","{public}","UPDATE","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","Admins can view all feedback","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","Users can insert their clinic feedback","PERMISSIVE","{public}","INSERT",,"(clinic_id IN ( SELECT profiles.clinic_id
   FROM profiles
  WHERE (profiles.user_id = ( SELECT auth.uid() AS uid))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_feedback","Users can view their clinic feedback","PERMISSIVE","{public}","SELECT","(clinic_id IN ( SELECT profiles.clinic_id
   FROM profiles
  WHERE (profiles.user_id = ( SELECT auth.uid() AS uid))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","Admins can view all metrics","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","System can insert metrics","PERMISSIVE","{public}","INSERT",,"(( SELECT auth.role() AS role) = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","beta_usage_metrics","Users can view their clinic metrics","PERMISSIVE","{public}","SELECT","(clinic_id IN ( SELECT profiles.clinic_id
   FROM profiles
  WHERE (profiles.user_id = ( SELECT auth.uid() AS uid))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_audit_logs","service_role full access billing audit logs","PERMISSIVE","{public}","ALL","(auth.role() = 'service_role'::text)","(auth.role() = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","billing_overrides","service_role full access billing overrides","PERMISSIVE","{public}","ALL","(auth.role() = 'service_role'::text)","(auth.role() = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","blocks","blocks_delete_for_admin","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","blocks","blocks_insert_for_managers","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","blocks","blocks_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","blocks","blocks_update_for_managers","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","calendar_feed_tokens","calendar_feed_tokens_select_scoped","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = 'admin'::text) OR (created_by = auth.uid()) OR ((feed_type = 'clinic'::text) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((feed_type = 'staff'::text) AND (staff_profile_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM staff_profiles sp
  WHERE ((sp.id = calendar_feed_tokens.staff_profile_id) AND (sp.user_id = auth.uid()))))) OR ((feed_type = 'staff'::text) AND (staff_profile_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM staff_clinic_memberships scm
  WHERE ((scm.staff_profile_id = calendar_feed_tokens.staff_profile_id) AND app_private.can_access_clinic(scm.clinic_id))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","calendar_feed_tokens","calendar_feed_tokens_write_admin_only","PERMISSIVE","{public}","ALL","(app_private.get_current_role() = 'admin'::text)","(app_private.get_current_role() = 'admin'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","care_episodes","care_episodes_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","care_episodes","care_episodes_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","care_episodes","care_episodes_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_messages","chat_messages_insert","PERMISSIVE","{public}","INSERT",,"(EXISTS ( SELECT 1
   FROM chat_sessions cs
  WHERE ((cs.id = chat_messages.session_id) AND ((cs.user_id = ( SELECT auth.uid() AS uid)) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (cs.clinic_id IS NOT NULL) AND app_private.can_access_clinic(cs.clinic_id)) OR ((cs.clinic_id IS NULL) AND app_private.jwt_is_admin())))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_messages","chat_messages_select","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM chat_sessions cs
  WHERE ((cs.id = chat_messages.session_id) AND ((cs.user_id = ( SELECT auth.uid() AS uid)) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (cs.clinic_id IS NOT NULL) AND app_private.can_access_clinic(cs.clinic_id)) OR ((cs.clinic_id IS NULL) AND app_private.jwt_is_admin())))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_sessions","chat_sessions_delete","PERMISSIVE","{public}","DELETE","(((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_sessions","chat_sessions_insert","PERMISSIVE","{public}","INSERT",,"(((user_id = ( SELECT auth.uid() AS uid)) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_sessions","chat_sessions_select","PERMISSIVE","{public}","SELECT","((user_id = ( SELECT auth.uid() AS uid)) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","chat_sessions","chat_sessions_update","PERMISSIVE","{public}","UPDATE","((user_id = ( SELECT auth.uid() AS uid)) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))","(((user_id = ( SELECT auth.uid() AS uid)) AND (((clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))) OR ((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (clinic_id IS NOT NULL) AND app_private.can_access_clinic(clinic_id)) OR ((clinic_id IS NULL) AND app_private.jwt_is_admin()))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_feature_flags","clinic_feature_flags_select_scoped","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = 'admin'::text) OR app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_feature_flags","clinic_feature_flags_write_admin_only","PERMISSIVE","{public}","ALL","(app_private.get_current_role() = 'admin'::text)","(app_private.get_current_role() = 'admin'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_delete","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_insert","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_select","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_select_policy","PERMISSIVE","{public}","SELECT","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_update","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinic_settings","clinic_settings_upsert_policy","PERMISSIVE","{public}","ALL","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))","((EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.user_id = ( SELECT auth.uid() AS uid)) AND (p.clinic_id = p.clinic_id) AND ((p.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))) OR (EXISTS ( SELECT 1
   FROM user_permissions up
  WHERE ((up.staff_id = ( SELECT auth.uid() AS uid)) AND (up.clinic_id = up.clinic_id) AND ((up.role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('manager'::character varying)::text]))))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_admin_insert","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND (((parent_id IS NOT NULL) AND app_private.can_access_clinic(parent_id)) OR ((parent_id IS NULL) AND app_private.jwt_is_admin())))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_admin_select","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_admin_update","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_delete_for_admin","PERMISSIVE","{public}","DELETE","(app_private.get_current_role() = 'admin'::text)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","clinics","clinics_own_select","PERMISSIVE","{public}","SELECT","app_private.can_access_clinic(id)",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","critical_incidents","Admins can manage incidents","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND ((profiles.role)::text = 'admin'::text))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","critical_incidents","Affected clinics can view their incidents","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.user_id = ( SELECT auth.uid() AS uid)) AND (profiles.clinic_id = ANY (critical_incidents.affected_clinics)))))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_insert_any","PERMISSIVE","{public}","INSERT",,"(( SELECT auth.role() AS role) = 'service_role'::text)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_select_admin","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","csp_violations","csp_violations_update_admin","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND ((clinic_id IS NULL) OR app_private.can_access_clinic(clinic_id)))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customer_insurance_coverages","customer_insurance_coverages_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customer_insurance_coverages","customer_insurance_coverages_write_for_clinic_pricing_admin","PERMISSIVE","{authenticated}","ALL","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_delete_for_admin","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_insert_for_staff","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","customers","customers_update_for_staff","PERMISSIVE","{public}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tag_definitions","daily_report_item_tag_definitions_select_for_authenticated","PERMISSIVE","{authenticated}","SELECT","true",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_delete_for_managers","PERMISSIVE","{authenticated}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_insert_for_staff","PERMISSIVE","{authenticated}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_select_for_staff","PERMISSIVE","{authenticated}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_item_tags","daily_report_item_tags_update_for_staff","PERMISSIVE","{authenticated}","UPDATE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_delete_for_managers","PERMISSIVE","{public}","DELETE","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_insert_for_staff","PERMISSIVE","{public}","INSERT",,"((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","daily_report_items","daily_report_items_select_for_staff","PERMISSIVE","{public}","SELECT","((app_private.get_current_role() = ANY (ARRAY['admin'::text, 'clinic_admin'::text, 'manager'::text, 'therapist'::text, 'staff'::text])) AND app_private.can_access_clinic(clinic_id))",,"UNCLASSIFIED","UNDECIDED","UNKNOWN"
