schema,signature,security_definer,exposed_schema,data_api_callable,execute_grantees_before,search_path,user_input,tenant_scope,owner,callers,tests,decision
"public","normalize_customer_phone(text)","false","yes","client","PUBLIC;anon;authenticated;service_role","mutable","text","none; pure normalization","postgres","generated column public.customers.normalized_phone","COMM-FUNCTION-002; commercial_function_execution_test","PR04_FIX_PATH_KEEP_EXISTING_EXECUTE"
"public","accept_invite(uuid)","true","yes","service_role only","service_role","public","invite token","invite row and claimed user","postgres","server invite flow; PR-08 redesign pending","invite tests; caller inventory","KEEP_SERVICE_ROLE_ONLY_PR08"
"public","activate_billable_store_if_capacity(uuid,uuid)","true","yes","service_role only","service_role","public, auth, extensions","clinic and actor ids","application-validated billing clinic scope","postgres","src/lib/billing/tenant-activation.ts","billing tenant activation tests","KEEP_SERVICE_ROLE_ONLY"
"public","aggregate_mfa_stats(uuid,timestamp with time zone,timestamp with time zone)","true","yes","service_role only","service_role","public, auth, extensions","clinic and time range","service-owned clinic aggregation","postgres","server security aggregation","security tests; caller inventory","KEEP_SERVICE_ROLE_ONLY"
"app_private","app_private.assert_manager_clinic_assignment_valid()","true","no","no","service_role","public, auth, extensions","trigger row","manager assignment clinic invariant","postgres","manager_clinic_assignments triggers","commercial RLS; trigger catalog","KEEP_TRIGGER_ONLY_NO_PUBLIC"
"app_private","app_private.assert_subscription_org_root_clinic()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","trigger row","subscription root clinic invariant","postgres","subscriptions_org_root_clinic_guard","catalog; billing tests","PR04_REMOVE_PUBLIC_TRIGGER_ONLY"
"app_private","app_private.belongs_to_clinic(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","JWT/DB clinic helper","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.can_access_clinic(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","JWT clinic_scope_ids fail-closed","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.custom_access_token_hook(jsonb)","true","no","no","PUBLIC;anon;authenticated;service_role;supabase_auth_admin","public, auth, extensions","Auth event","permission-row clinic scope claims","postgres","supabase/config.toml Auth hook","function execution SQL; Auth E2E pending","PR04_SUPABASE_AUTH_ADMIN_ONLY"
"app_private","app_private.get_current_clinic_id()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT then DB permission clinic","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.get_current_role()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT then DB permission role","postgres","RLS policies","commercial RLS; function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.get_sibling_clinic_ids(uuid)","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","clinic id","authenticated manager hierarchy","postgres","RLS/helper callers","function execution SQL","KEEP_AUTHENTICATED_ONLY_REMOVE_PUBLIC"
"app_private","app_private.is_admin()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","current role helper","postgres","RLS policies","commercial RLS","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.jwt_clinic_id()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT clinic claim parser","postgres","RLS helpers","function execution SQL","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.jwt_is_admin()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","JWT role claim parser","postgres","RLS helpers","commercial RLS","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"app_private","app_private.user_role()","true","no","no","PUBLIC;anon;authenticated;service_role","public, auth, extensions","request context","current role helper","postgres","RLS policies","commercial RLS","KEEP_EXPLICIT_RLS_HELPER_REMOVE_PUBLIC"
"public","belongs_to_clinic(uuid)","true","yes","service_role only","service_role","public, auth, extensions","clinic id","legacy wrapper to app_private","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","can_access_clinic(uuid)","true","yes","service_role only","service_role","public, auth, extensions","clinic id","legacy wrapper to app_private","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","confirm_daily_report_item_pricing(uuid,uuid,integer,numeric,boolean,text,uuid)","true","yes","service_role only","service_role","public, auth, extensions","pricing and actor inputs","server-validated clinic/report scope","postgres","server report pricing flow","daily report pricing tests","KEEP_SERVICE_ROLE_ONLY"
"public","convert_shift_requests(uuid,uuid,uuid[],text,uuid,text)","true","yes","service_role only","service_role","public, auth, extensions","clinic/period/request ids","server-validated clinic scope","postgres","server shift conversion flow","shift workflow pgTAP","KEEP_SERVICE_ROLE_ONLY"
"public","create_clinic_with_admin(text,text,text,date,uuid)","true","yes","service_role only","service_role","public","clinic inputs","service-owned clinic creation","postgres","server administration","caller inventory","KEEP_SERVICE_ROLE_ONLY"
"public","custom_access_token_hook(jsonb)","true","yes","service_role only","service_role","public, auth, extensions","Auth event","legacy hook copy; not configured","postgres","no active config caller","catalog; Auth E2E pending","KEEP_SERVICE_ROLE_ONLY_LEGACY_NO_DROP"
"public","decrypt_mfa_secret(text)","true","yes","service_role only","service_role","public, auth, extensions","ciphertext","server-owned MFA secret path","postgres","server MFA flow","MFA security tests","KEEP_SERVICE_ROLE_ONLY"
"public","encrypt_mfa_secret(text)","true","yes","service_role only","service_role","public, auth, extensions","plaintext secret","server-owned MFA secret path","postgres","server MFA flow","MFA security tests","KEEP_SERVICE_ROLE_ONLY"
"public","get_clinic_settings(uuid,text)","true","yes","service_role only","service_role","public","clinic/category","server-validated clinic scope","postgres","server settings flow","admin settings tests","KEEP_SERVICE_ROLE_ONLY"
"public","get_current_clinic_id()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","get_current_role()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","get_invite_by_token(uuid)","true","yes","service_role only","service_role","public","invite token","server invite validation","postgres","server invite flow","invite tests","KEEP_SERVICE_ROLE_ONLY_PR08"
"public","get_sibling_clinic_ids(uuid)","true","yes","service_role only","service_role","public, auth, extensions","clinic id","legacy hierarchy wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","is_admin()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy role wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","jwt_clinic_id()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy JWT wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","jwt_is_admin()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy JWT wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","log_reservation_created()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","reservation clinic row","postgres","reservation trigger","reservation tests","KEEP_TRIGGER_ONLY_SERVICE"
"public","log_reservation_deleted()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","reservation clinic row","postgres","reservation trigger","reservation tests","KEEP_TRIGGER_ONLY_SERVICE"
"public","log_reservation_updated()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","reservation clinic row","postgres","reservation trigger","reservation tests","KEEP_TRIGGER_ONLY_SERVICE"
"public","recalculate_daily_report_totals(uuid)","true","yes","service_role only","service_role","public","report id","service-owned report mutation","postgres","server report flow","daily report tests","KEEP_SERVICE_ROLE_ONLY"
"public","refresh_daily_stats()","true","yes","service_role only","service_role","public, auth, extensions","none","service-owned aggregate refresh","postgres","scheduled/server flow","caller inventory","KEEP_SERVICE_ROLE_ONLY"
"public","replace_manager_clinic_assignments(uuid,uuid[],text,uuid,uuid)","true","yes","service_role only","service_role","public, auth, extensions","manager and clinic ids","application-resolved manager scope","postgres","server manager assignment flow","manager assignment tests","KEEP_SERVICE_ROLE_ONLY"
"public","replace_manager_clinic_assignments(uuid,uuid[],text,uuid)","true","yes","service_role only","service_role","public, auth, extensions","manager and clinic ids","application-resolved manager scope","postgres","server manager assignment flow","manager assignment tests","KEEP_SERVICE_ROLE_ONLY_COMPAT_OVERLOAD"
"public","rls_auto_enable()","true","yes","unknown remote-only","service_role per historical hardening","fixed per historical migration","DDL event","platform/DDL helper","environment drift","remote-only catalog item","hosted catalog after pending","KEEP_CLIENT_CLOSED_VERIFY_HOSTED"
"public","sync_arrived_reservation_daily_report_item()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","reservation/report clinic checks","postgres","reservation trigger","phase4a pgTAP","KEEP_TRIGGER_ONLY_SERVICE"
"public","sync_daily_report_item_totals()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","daily report parent scope","postgres","daily report trigger","phase4a pgTAP","KEEP_TRIGGER_ONLY_SERVICE"
"public","update_customer_stats()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","customer clinic row","postgres","customer trigger","customer tests","KEEP_TRIGGER_ONLY_SERVICE"
"public","update_email_outbox_updated_at()","true","yes","trigger only","service_role","public, auth, extensions","trigger row","service-only outbox","postgres","email outbox trigger","email tests","KEEP_TRIGGER_ONLY_SERVICE"
"public","update_reservation_notifications_updated_at()","true","yes","client before PR04","PUBLIC;anon;authenticated;service_role","public","trigger row","service-only notification row","postgres","reservation_notifications_updated_at_trigger","COMM-FUNCTION-001; function execution SQL","PR04_REVOKE_PUBLIC_ANON_AUTH_KEEP_TRIGGER"
"public","upsert_clinic_settings(uuid,text,jsonb,uuid)","true","yes","service_role only","service_role","public","clinic/category/settings/actor","server-validated clinic scope","postgres","server settings flow","admin settings tests","KEEP_SERVICE_ROLE_ONLY"
"public","user_role()","true","yes","service_role only","service_role","public, auth, extensions","request context","legacy role wrapper","postgres","legacy database callers","caller inventory","KEEP_SERVICE_ROLE_ONLY_LEGACY"
"public","validate_shift_requests_clinic_refs()","true","yes","client before PR04","PUBLIC;anon;authenticated;service_role","public, auth, extensions","trigger row","period/resource same-clinic invariant","postgres","validate_shift_requests_clinic_refs_trigger","COMM-FUNCTION-001; function execution SQL","PR04_REVOKE_PUBLIC_ANON_AUTH_KEEP_TRIGGER"
