"table_name","candidate_class","status","reason","clinic_id_contract","public_surface_candidate","owner_decision_required"
"ai_comments","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"appointments","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NOT NULL","false","retention/quarantine owner decision"
"audit_logs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"beta_feedback","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"beta_usage_metrics","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"billing_audit_logs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"billing_overrides","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"blocks","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"calendar_feed_tokens","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"care_episodes","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"chat_messages","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"chat_sessions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"clinic_feature_flags","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"clinic_line_credentials","B_SERVICE_ROLE_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.2 candidate","clinic_id NOT NULL","false",""
"clinic_settings","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"clinics","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","NO clinic_id","true",""
"critical_incidents","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"csp_violations","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"customer_insurance_coverages","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"customers","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"daily_report_item_tag_definitions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"daily_report_item_tags","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"daily_report_items","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"daily_reports","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"email_logs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"email_outbox","B_SERVICE_ROLE_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.2 candidate","clinic_id NOT NULL","false",""
"encryption_keys","B_SERVICE_ROLE_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.2 candidate","NO clinic_id","false",""
"improvement_backlog","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_items","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_revision_diffs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_schedules","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_source_snapshots","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_sources","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"insurance_fee_warning_definitions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"internal_job_runs","B_SERVICE_ROLE_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.2 candidate","NO clinic_id","false",""
"line_message_outbox","B_SERVICE_ROLE_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.2 candidate","clinic_id NOT NULL","false",""
"manager_clinic_assignments","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"master_categories","C_SHARED_MASTER_READ_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.3 candidate","NO clinic_id","false",""
"master_patient_types","C_SHARED_MASTER_READ_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.3 candidate","NO clinic_id","false",""
"master_payment_methods","C_SHARED_MASTER_READ_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.3 candidate","NO clinic_id","false",""
"menu_billing_profiles","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"menu_categories","C_SHARED_MASTER_READ_ONLY","DRAFT_SPEC_CANDIDATE","Spec section 6.3 candidate","NO clinic_id","false",""
"menu_template_billing_profiles","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"menu_templates","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"menus","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","true",""
"mfa_setup_sessions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"mfa_usage_stats","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"notifications","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"onboarding_states","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"patient_outreach_campaigns","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"patient_outreach_recipients","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"patients","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"profiles","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"registered_devices","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"reservation_history","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"reservation_notifications","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"reservations","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"resources","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","true",""
"revenue_contexts","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"revenue_estimate_lines","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimate_overrides","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimate_warnings","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenue_estimates","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"revenues","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NULLABLE","false","retention/quarantine owner decision"
"security_alerts","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"security_events","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"session_policies","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_request_audit_logs","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_request_periods","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"shift_requests","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"staff","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"staff_clinic_memberships","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"staff_invites","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","true","classification owner required"
"staff_performance","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NULLABLE","false","classification owner required"
"staff_preferences","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"staff_profiles","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"staff_shifts","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NOT NULL","false",""
"stripe_webhook_events","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"subscriptions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"treatment_menu_records","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","NO clinic_id","false","retention/quarantine owner decision"
"treatments","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NOT NULL","false","retention/quarantine owner decision"
"user_mfa_settings","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"user_permissions","A_TENANT_CANONICAL","DRAFT_SPEC_CANDIDATE","Spec section 6.1 candidate","clinic_id NULLABLE","false",""
"user_sessions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","clinic_id NOT NULL","false","classification owner required"
"visit_stage_definitions","UNKNOWN","BLOCK_UNCLASSIFIED","Not explicitly classified by spec section 6","NO clinic_id","false","classification owner required"
"visits","E_LEGACY_QUARANTINE","DRAFT_SPEC_CANDIDATE","Spec section 6.5 candidate","clinic_id NULLABLE","false","retention/quarantine owner decision"
